Unnamed: 0,sms,spam,Unnamed: 3,sms_processed,tokens
0,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face &lt;#&gt; .joker face.,False,,1 tension face 2 smiling face 3 waste face 4 innocent face 5terror face 6cruel face 7romantic face 8lovable face 9decent face ltgt joker face,"['1', 'tension', 'face', '2', 'smiling', 'face', '3', 'waste', 'face', '4', 'innocent', 'face', '5terror', 'face', '6cruel', 'face', '7romantic', 'face', '8lovable', 'face', '9decent', 'face', 'ltgt', 'joker', 'face']"
1,Hhahhaahahah rofl was leonardo in your room or something,False,,hhahhaahahah rofl was leonardo in your room or something,"['hhahhaahahah', 'rofl', 'leonardo', 'room', 'something']"
4,Oh for  sake she's in like ,False,,oh for  sake shes in like ,"['oh', 'sake', 'shes', 'like']"
5,No da:)he is stupid da..always sending like this:)don believe any of those message.pandy is a :),False,,no dahe is stupid daalways sending like thisdon believe any of those messagepandy is a ,"['dahe', 'stupid', 'daalways', 'sending', 'like', 'thisdon', 'believe', 'messagepandy']"
6,Lul im gettin some juicy gossip at the hospital.  Oyea.,False,,lul im gettin some juicy gossip at the hospital  oyea,"['lul', 'im', 'gettin', 'juicy', 'gossip', 'hospital', 'oyea']"
7,"My planning usually stops at ""find hella weed, smoke hella weed""",False,,my planning usually stops at find hella weed smoke hella weed,"['planning', 'usually', 'stops', 'find', 'hella', 'weed', 'smoke', 'hella', 'weed']"
8,How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.,False,,how dare you stupid i wont tell anything to you hear after i wont talk to you,"['dare', 'stupid', 'wont', 'tell', 'anything', 'hear', 'wont', 'talk']"
9,"""HI BABE UAWAKE?FEELLIKW .JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS Â– (oofin) NICE!,.ANYWAY,IÂ’L CALL U""",False,,hi babe uawakefeellikw justfound out via aletter thatmum gotmarried 4thnovbehind ourbacks â oofin niceanywayiâl call u,"['hi', 'babe', 'uawakefeellikw', 'justfound', 'via', 'aletter', 'thatmum', 'gotmarried', '4thnovbehind', 'ourbacks', 'â', 'oofin', 'niceanywayiâl', 'call', 'u']"
10,Ho ho - big belly laugh! See ya tomo,False,,ho ho  big belly laugh see ya tomo,"['ho', 'ho', 'big', 'belly', 'laugh', 'see', 'ya', 'tomo']"
11,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",True,,do you ever notice that when youre driving anyone going slower than you is an idiot and everyone driving faster than you is a maniac,"['ever', 'notice', 'youre', 'driving', 'anyone', 'going', 'slower', 'idiot', 'everyone', 'driving', 'faster', 'maniac']"
